A=7064 B=6735 C=9638 X=888900875 Y=4772346847 Z=83962030001 M=3371
A=2483 B=8218 C=6450 X=348822991 Y=2065813215 Z=45638992232 M=6611
A=8884 B=3824 C=9885 X=257129496 Y=7630893308 Z=14704824107 M=1678
A=6206 B=5847 C=6707 X=385189723 Y=9284294544 Z=92473650003 M=9010
A=6940 B=7124 C=9481 X=968871763 Y=7601492637 Z=49367863144 M=7597
A=7143 B=3717 C=9192 X=432624900 Y=5899380243 Z=25651828023 M=9656
A=6429 B=4208 C=8191 X=214214666 Y=3940768655 Z=68147791938 M=7948
A=7893 B=7001 C=7714 X=777322297 Y=6913632708 Z=81779679630 M=2233
A=5541 B=6835 C=6353 X=598282473 Y=3839174820 Z=21425522574 M=7867
A=3531 B=8316 C=5730 X=958127687 Y=5865547789 Z=56272566805 M=7141
A=5444 B=4849 C=5383 X=454160504 Y=9886932278 Z=16205876571 M=5420
A=6678 B=6632 C=5440 X=885728961 Y=8748764281 Z=26358285188 M=1668
A=6545 B=9012 C=9867 X=984934544 Y=3330385937 Z=49973012900 M=1980
A=4139 B=8122 C=8265 X=599500031 Y=8977015408 Z=62446601997 M=4631
A=9363 B=6640 C=9863 X=159683221 Y=4024821748 Z=25412011646 M=6706
A=5393 B=9162 C=7315 X=653759703 Y=1182181473 Z=68527944541 M=7383
A=3938 B=5344 C=5050 X=641210472 Y=9917742330 Z=90174747599 M=3367
A=6026 B=4357 C=6495 X=497228335 Y=5944441480 Z=11162244689 M=4718
A=3892 B=6091 C=5452 X=688737021 Y=2351905604 Z=43696035619 M=3063
A=4021 B=6138 C=9850 X=835873141 Y=2244636322 Z=16218812088 M=7947
A=4691 B=9220 C=9224 X=804357377 Y=9322755809 Z=83281200700 M=2733
A=7938 B=8402 C=9607 X=303283092 Y=4487147952 Z=44303190234 M=7304
A=5934 B=5245 C=6932 X=904105835 Y=8097137207 Z=62584844769 M=1794
A=8522 B=9682 C=9544 X=239950118 Y=7243093580 Z=70480554019 M=7488
A=5225 B=9170 C=6838 X=900976865 Y=5359620695 Z=30103580206 M=5056
A=5366 B=6636 C=6605 X=779024696 Y=5898136351 Z=71782788096 M=8170
A=6000 B=7652 C=7632 X=896727462 Y=8975914441 Z=73812197083 M=4227
A=9450 B=7976 C=5617 X=374136621 Y=6352719669 Z=57454818950 M=3717
A=8344 B=9630 C=6350 X=105790608 Y=7660397191 Z=24432094400 M=2931
A=4281 B=3541 C=8386 X=780428369 Y=8165938447 Z=34224567604 M=3719
A=3165 B=7164 C=8068 X=364752834 Y=9677200844 Z=66368920088 M=5327
A=6742 B=9382 C=9490 X=254239583 Y=1233242698 Z=93507926362 M=4814
A=6692 B=8576 C=6347 X=279540950 Y=3633729626 Z=92612588059 M=2945
A=8191 B=5425 C=7023 X=717520126 Y=7884891645 Z=83642088848 M=1738
A=5458 B=8890 C=8915 X=807435628 Y=6449521638 Z=51280744695 M=9157
A=6318 B=9884 C=5410 X=594838757 Y=3595268537 Z=80038108036 M=7066
A=3651 B=6299 C=8436 X=218277216 Y=5725416326 Z=99820984465 M=2242
A=9743 B=7866 C=9684 X=859971751 Y=2958492190 Z=70274309761 M=8229
A=6561 B=9273 C=6216 X=328935341 Y=2619828854 Z=57515187606 M=1148
A=6495 B=3357 C=9982 X=352967342 Y=6731961646 Z=73097124830 M=4534
A=9775 B=6029 C=6481 X=847938022 Y=5380093445 Z=77083306238 M=5188
A=7412 B=7276 C=5945 X=365551601 Y=1112015460 Z=38208490883 M=8589
A=5380 B=4980 C=8770 X=607318404 Y=4632788494 Z=79418355902 M=4523
A=3360 B=4334 C=5910 X=249173492 Y=1366526036 Z=81634574021 M=1415
A=8389 B=8441 C=8938 X=637950938 Y=3018051271 Z=83662401363 M=8252
A=6240 B=6538 C=7998 X=713853340 Y=3030294228 Z=49226069960 M=1886
A=9708 B=3532 C=5889 X=223588742 Y=9814590352 Z=46886686363 M=8317
A=4923 B=3278 C=6118 X=602665066 Y=9660692342 Z=61593020244 M=8174
A=4807 B=9521 C=5512 X=842404014 Y=1250393783 Z=59181899965 M=3150
A=8262 B=5879 C=8163 X=901319903 Y=4721512993 Z=53671895990 M=9126
A=3400 B=8094 C=8663 X=339753299 Y=6390890829 Z=77678113959 M=7105
A=3639 B=4604 C=8646 X=867281635 Y=9026974934 Z=60631721362 M=7751
A=7154 B=5491 C=7622 X=703224805 Y=4978883573 Z=65897442186 M=9981
A=2180 B=6881 C=7581 X=726404940 Y=9602713924 Z=69030460317 M=1502
A=4569 B=5685 C=8249 X=681481251 Y=1172663764 Z=71193710458 M=5385
A=6156 B=4441 C=8247 X=957118798 Y=7384712716 Z=93499684308 M=6904
A=6005 B=9798 C=5648 X=631884953 Y=6583999082 Z=30953741472 M=5067
A=4492 B=4258 C=9445 X=319907929 Y=5625591356 Z=47687540184 M=3147
A=5632 B=3790 C=5571 X=790225869 Y=8515537727 Z=31294218124 M=1165
A=4106 B=6744 C=9076 X=477804130 Y=7407363709 Z=43583222462 M=1425
A=4766 B=8612 C=5662 X=724259515 Y=4069797480 Z=74203873005 M=1009
A=4876 B=4440 C=8881 X=966797260 Y=5903543133 Z=19010589385 M=1922
A=7836 B=4888 C=6901 X=218893956 Y=6857285465 Z=81719876843 M=9841
A=7435 B=4009 C=9943 X=336641033 Y=5104289519 Z=78139145178 M=4486
A=8874 B=8898 C=7183 X=388759254 Y=7256166569 Z=10284018916 M=1438
A=5318 B=8433 C=6337 X=549876310 Y=6324902351 Z=65003131130 M=5272
A=7574 B=6555 C=8093 X=897946294 Y=4144615106 Z=80079008133 M=5490
A=4249 B=9889 C=6360 X=745543849 Y=1660821463 Z=36320896799 M=4038
A=2361 B=9706 C=9427 X=867095826 Y=3496991131 Z=72589525472 M=2471
A=6206 B=6013 C=8214 X=474056701 Y=7342856337 Z=33807384546 M=5469
A=3618 B=6950 C=7409 X=361994543 Y=2084222082 Z=89640059643 M=2074
A=3166 B=6168 C=6901 X=541539183 Y=5100243647 Z=77712077934 M=3697
A=9318 B=7481 C=7507 X=961210428 Y=7464871896 Z=78222289242 M=8290
A=2767 B=5939 C=6104 X=455250394 Y=5281910547 Z=80855111812 M=2830
A=3745 B=7471 C=7970 X=960342064 Y=6219168849 Z=68908896471 M=4606
A=9520 B=7551 C=8860 X=740207454 Y=9172910295 Z=15695220147 M=5070
A=6317 B=6300 C=9818 X=368520206 Y=6476283781 Z=44443721663 M=3983
A=4599 B=8127 C=5981 X=798657362 Y=2047910426 Z=59925701777 M=7054
A=9859 B=5979 C=9621 X=273856903 Y=2015686246 Z=61631350290 M=9094
A=8469 B=5553 C=7519 X=788604812 Y=3686435006 Z=64358138492 M=7908
A=6897 B=5192 C=5644 X=289954843 Y=8371262428 Z=15840566267 M=8544
A=2689 B=9177 C=7082 X=430223976 Y=5294354314 Z=42611040285 M=6449
A=8090 B=8429 C=6293 X=891743957 Y=5730795072 Z=85169494467 M=4897
A=3701 B=3718 C=9515 X=807411232 Y=1388574165 Z=87312336111 M=6420
A=9991 B=9910 C=8550 X=882596044 Y=4206071031 Z=99373573097 M=5743
A=6401 B=5928 C=8821 X=863642149 Y=1485617339 Z=16434659295 M=6629
A=6720 B=7972 C=8984 X=705077842 Y=2859027987 Z=22396169042 M=1399
A=6183 B=5559 C=5953 X=819452892 Y=4014999185 Z=74516427662 M=8442
A=2432 B=6487 C=6378 X=309958181 Y=6738981996 Z=89263842796 M=8992
A=7096 B=7391 C=6661 X=788251302 Y=4078636606 Z=12886936768 M=5795
A=6396 B=5298 C=9542 X=531074839 Y=6331273300 Z=17960481249 M=3939
A=8651 B=9979 C=8923 X=895892916 Y=5150374021 Z=55439875914 M=6624
A=3314 B=3603 C=7180 X=480143726 Y=2032862486 Z=74656095554 M=5285
A=2992 B=7484 C=9753 X=227449704 Y=2367127847 Z=82362297718 M=4775
A=2625 B=3625 C=5743 X=623957999 Y=9278475024 Z=90800126384 M=9119
A=2620 B=8875 C=5968 X=726023282 Y=5811997740 Z=40172480918 M=9141
A=8191 B=4737 C=8961 X=134164280 Y=3735752828 Z=18563813793 M=6722
A=9449 B=7812 C=6347 X=890298561 Y=3270252228 Z=50937092782 M=3470
A=6556 B=6277 C=8390 X=832828882 Y=4460589650 Z=32435269857 M=5917
A=9839 B=7467 C=6059 X=857337177 Y=4854832385 Z=42931361168 M=1461
A=2678 B=9004 C=7899 X=127704000 Y=2652225139 Z=85618479793 M=2206
A=9180 B=6654 C=8551 X=245214621 Y=6913966666 Z=74524527819 M=6539
A=5247 B=5032 C=7735 X=821087375 Y=5829976442 Z=41087594393 M=5344
A=5447 B=6150 C=6251 X=432784683 Y=8270612906 Z=22832391222 M=7480
A=3184 B=4012 C=8328 X=836644671 Y=2030774197 Z=26157974701 M=7844
A=6041 B=8136 C=8327 X=812124265 Y=6005448217 Z=83077034535 M=5136
A=3878 B=5801 C=6450 X=463253120 Y=4769591665 Z=57371379604 M=7548
A=2654 B=5553 C=5565 X=277283704 Y=9807160552 Z=35650196060 M=7518
A=7102 B=8330 C=7314 X=524081639 Y=2231087774 Z=19438514410 M=3352
A=7296 B=5520 C=5884 X=348861915 Y=4366007706 Z=16231259155 M=2140
A=2562 B=8612 C=9160 X=378316051 Y=8911457183 Z=60416506589 M=4364
A=8964 B=9274 C=8468 X=506590757 Y=3752437162 Z=82985980490 M=9395
A=2243 B=5052 C=6425 X=428559637 Y=4249428056 Z=46323859118 M=7906
A=7696 B=3241 C=7607 X=899408027 Y=7682531252 Z=37458343575 M=8516
A=2473 B=7162 C=5919 X=351619757 Y=9792808268 Z=81258149637 M=5148
A=2162 B=5381 C=5842 X=400395530 Y=6395638436 Z=88952680693 M=3437
A=7267 B=8626 C=5285 X=702263957 Y=9899500744 Z=72904487019 M=2344
A=4832 B=7379 C=8091 X=752027747 Y=2610463109 Z=16348538895 M=5538
A=9622 B=9504 C=9305 X=500356001 Y=7505952312 Z=45732993574 M=8860
A=7077 B=3363 C=7220 X=306371066 Y=9289797177 Z=81605943781 M=8777
A=7829 B=6268 C=9072 X=868386400 Y=4309847625 Z=32577631986 M=3621
A=4139 B=5528 C=9423 X=919398437 Y=4432361631 Z=35963959546 M=5428
A=8553 B=8857 C=6798 X=125669199 Y=3562395716 Z=44119464339 M=3278
A=4087 B=6247 C=7214 X=341505822 Y=8466231032 Z=43498282802 M=9317
A=8134 B=3702 C=5885 X=565491130 Y=5563755648 Z=25793560131 M=8354
A=6006 B=6420 C=7953 X=297127979 Y=6433687168 Z=31098622225 M=6454
A=5002 B=9287 C=5968 X=890621520 Y=4337756841 Z=91707533228 M=5333
A=9501 B=3515 C=7865 X=499495562 Y=4144653377 Z=60050251914 M=9044
A=5526 B=3050 C=9915 X=494488139 Y=9282861906 Z=77397031458 M=1155
A=6860 B=3489 C=7731 X=935908456 Y=3150318639 Z=77019923273 M=1567
A=4890 B=6230 C=9491 X=178606654 Y=7928656351 Z=22462634068 M=8385
A=2502 B=8734 C=8700 X=971851091 Y=8502791548 Z=29804605084 M=3378
A=3970 B=6638 C=9904 X=330269379 Y=6230394541 Z=19184305940 M=9880
A=4183 B=5915 C=7588 X=722270201 Y=6582390809 Z=17200137823 M=8424
A=8554 B=6551 C=9228 X=926373033 Y=2461736975 Z=23163004758 M=2133
A=9153 B=7427 C=8329 X=950432526 Y=6613877356 Z=13189208195 M=4306
A=4074 B=5621 C=9597 X=470708542 Y=6659390269 Z=23782175969 M=9218
A=2948 B=3849 C=5089 X=793830543 Y=4325008325 Z=13703082622 M=6351
A=2987 B=5273 C=6527 X=240114454 Y=4648227886 Z=99074631074 M=7915
A=3980 B=9769 C=5847 X=330897051 Y=7277842790 Z=27448916297 M=3731
A=9241 B=3999 C=8742 X=849189455 Y=8775463077 Z=15581041501 M=9678
A=3722 B=4262 C=5501 X=660587677 Y=3286810081 Z=12680693195 M=5458
A=9134 B=5216 C=7699 X=342216337 Y=1780537991 Z=73713298103 M=8190
A=5680 B=4234 C=7752 X=948632052 Y=4554233339 Z=55599886110 M=9109
A=3113 B=3992 C=9887 X=386541991 Y=1383493382 Z=48072738203 M=8640
A=7123 B=6708 C=8731 X=353301401 Y=4108522043 Z=46552436043 M=8693
A=7602 B=8305 C=9699 X=779971802 Y=9386677874 Z=78908519364 M=9716
A=6175 B=5783 C=9498 X=567803983 Y=8778603348 Z=99320231773 M=5648
A=2037 B=9964 C=8639 X=313365151 Y=8047449989 Z=33522629297 M=7191
A=7822 B=6551 C=8676 X=468281216 Y=9395831469 Z=12541307928 M=5767
A=4223 B=9305 C=8840 X=641324011 Y=6685555238 Z=43610920787 M=6694
A=2154 B=5540 C=9548 X=103420402 Y=2409922707 Z=40520937355 M=6063
A=8598 B=9871 C=7179 X=871265065 Y=4052316242 Z=83764667525 M=6488
A=4332 B=9906 C=7669 X=950220147 Y=6997606296 Z=43331173620 M=4187
A=9428 B=5243 C=8525 X=906396228 Y=8845916346 Z=46309572345 M=3899
A=5439 B=3621 C=6080 X=713108486 Y=5720396380 Z=66491835913 M=1773
A=3553 B=6688 C=8512 X=105401299 Y=2808897344 Z=16587786431 M=6722
A=9585 B=7213 C=9388 X=721674524 Y=6255119217 Z=43538881601 M=1947
A=7967 B=3894 C=9075 X=546313265 Y=9410613085 Z=61202864559 M=7545
A=4725 B=9191 C=5011 X=528052825 Y=8608361813 Z=11843584091 M=9566
A=4579 B=8933 C=5391 X=887274109 Y=4852477643 Z=73093703700 M=7690
A=7471 B=9441 C=7295 X=613504710 Y=1419403792 Z=17119647809 M=6470
A=7680 B=4239 C=5016 X=738422647 Y=7033325746 Z=48298581397 M=8328
A=3328 B=6624 C=6910 X=680470130 Y=2945575546 Z=84286792867 M=8632
A=7832 B=6061 C=6157 X=294220699 Y=1590499911 Z=39413995223 M=4403
A=7634 B=7946 C=8948 X=599693444 Y=7830084060 Z=98245309049 M=4570
A=2023 B=9632 C=6568 X=957611774 Y=9904030309 Z=28332992241 M=1522
A=7206 B=6621 C=5910 X=571788982 Y=7109338574 Z=77030396078 M=6824
A=4024 B=3577 C=5711 X=601609586 Y=9148044734 Z=85420493236 M=3142
A=7359 B=3509 C=6753 X=191063698 Y=9590410794 Z=23370627401 M=9272
A=5540 B=7160 C=7168 X=704827928 Y=9528943083 Z=15588533592 M=8201
A=7136 B=4185 C=9702 X=771833846 Y=7291007705 Z=71743327929 M=4539
A=3066 B=5443 C=8330 X=601173295 Y=2068764340 Z=68493680335 M=8277
A=2122 B=6766 C=8724 X=892018845 Y=7007416833 Z=76204746390 M=9031
A=9222 B=7316 C=9675 X=565452266 Y=3270938562 Z=86574309500 M=2999
A=9657 B=6974 C=5600 X=144326943 Y=8373580950 Z=35513246521 M=7315
A=8979 B=8418 C=6133 X=821839376 Y=9361717568 Z=20953909815 M=2482
A=5675 B=3493 C=8109 X=240129781 Y=1967519804 Z=90693285646 M=9021
A=3086 B=8761 C=7034 X=342657462 Y=3282997884 Z=92051475612 M=5540
A=6343 B=3882 C=7153 X=963381123 Y=5453198109 Z=62318727502 M=4009
A=8451 B=9520 C=7852 X=245735174 Y=1822827985 Z=41344608469 M=2241
A=6386 B=9613 C=6250 X=660879432 Y=5283596175 Z=24628028072 M=3417
A=7972 B=9908 C=9660 X=615453884 Y=6507177620 Z=86154599219 M=1541
A=2165 B=3571 C=7988 X=139705167 Y=5529059484 Z=32960718139 M=7628
A=3555 B=9998 C=5248 X=351962525 Y=3245486108 Z=17244205746 M=6103
A=3418 B=3106 C=6003 X=707176570 Y=7996097117 Z=80576355229 M=4655
A=3757 B=8149 C=7050 X=857963057 Y=9919545927 Z=34764472380 M=1919
A=7649 B=8215 C=7769 X=478151716 Y=7791352391 Z=33292964728 M=7902
A=7326 B=8104 C=5683 X=889372107 Y=2000154493 Z=77036411140 M=3645
A=4901 B=8472 C=6471 X=965860908 Y=9672616651 Z=92515844222 M=6393
A=4328 B=4390 C=6778 X=513153596 Y=3512767075 Z=77921554067 M=7485
A=9690 B=7375 C=7878 X=416773424 Y=1494132577 Z=13195247271 M=6733
A=8079 B=7738 C=9108 X=153666656 Y=2317704352 Z=15240375899 M=7974
A=8080 B=6195 C=8384 X=147584962 Y=8108431894 Z=84485868251 M=8510
A=4953 B=9121 C=5138 X=279949092 Y=2009137794 Z=20571400431 M=8271
A=7121 B=5193 C=5427 X=594123067 Y=1448924024 Z=19814452648 M=1237
A=8777 B=9123 C=8983 X=137180955 Y=8026654849 Z=49020858864 M=6219
A=2499 B=5274 C=5122 X=760685605 Y=4912743067 Z=47678401719 M=5644
A=7327 B=5967 C=6700 X=165294029 Y=8434202204 Z=36070451454 M=1467
A=3404 B=7224 C=8772 X=691490873 Y=8433145018 Z=85101909704 M=3425
A=9655 B=4816 C=7186 X=648825269 Y=3542179153 Z=26228728791 M=3580
A=5989 B=7815 C=9264 X=147493248 Y=7858395334 Z=98906345482 M=8127
A=6626 B=3596 C=9861 X=703748886 Y=4342899625 Z=80671998184 M=7852
A=6860 B=8426 C=8136 X=207624773 Y=2092748245 Z=39306054738 M=6254
A=4658 B=8446 C=9056 X=311457639 Y=2289876680 Z=39486814460 M=7931
A=3428 B=3167 C=6723 X=194116252 Y=9753488651 Z=37300924320 M=7072
A=5078 B=5694 C=9207 X=323356932 Y=2933991519 Z=60155545343 M=9672
A=5513 B=4001 C=7115 X=292750480 Y=1443632755 Z=54450430875 M=3772
A=7432 B=8266 C=5548 X=693636828 Y=3751174505 Z=95192635329 M=2205
A=2670 B=7493 C=5896 X=617611053 Y=8740455480 Z=89702585811 M=5337
A=4703 B=9007 C=8097 X=624351144 Y=6945174403 Z=65914321988 M=6037
A=9985 B=8047 C=8272 X=896962215 Y=9757985714 Z=95127504813 M=2157
A=9861 B=8295 C=6309 X=859784792 Y=6840137766 Z=53882887303 M=7633
A=5808 B=6751 C=7008 X=533132750 Y=7138806813 Z=43235492288 M=1411
A=3211 B=8963 C=9164 X=673554342 Y=4720443277 Z=33304196864 M=3820
A=8351 B=4069 C=7188 X=524120737 Y=4246392308 Z=66295335192 M=5714
A=8236 B=4616 C=5345 X=951996631 Y=6883087585 Z=95614162020 M=5192
A=3328 B=3756 C=6404 X=950151043 Y=4664088016 Z=67920693569 M=9614
A=7319 B=3554 C=9003 X=138693725 Y=1228723801 Z=60404681126 M=3711
A=4164 B=6095 C=5212 X=541166618 Y=7446464788 Z=54208494452 M=6532
A=9056 B=8327 C=9728 X=879381781 Y=3406386780 Z=99356196142 M=6363
A=3108 B=7572 C=5483 X=786489713 Y=5153363822 Z=44408479760 M=9461
A=3857 B=5956 C=9687 X=198881885 Y=4633492681 Z=63620929782 M=2520
A=9182 B=5574 C=8347 X=951071749 Y=2950878548 Z=24388453094 M=6506
A=3930 B=9331 C=8225 X=856657071 Y=5757454476 Z=80759660119 M=7281
A=5118 B=3467 C=7682 X=530554985 Y=2111530786 Z=86951081740 M=9256
A=4473 B=6560 C=8606 X=399663170 Y=6273994219 Z=38308529449 M=8218
A=8757 B=8888 C=9695 X=807588139 Y=6691615904 Z=59711304402 M=3180
A=5885 B=9112 C=5116 X=377789086 Y=9687667857 Z=36081939224 M=3777
A=6501 B=5212 C=9959 X=244088012 Y=4110475067 Z=62280872492 M=3187
A=5321 B=4186 C=6132 X=492503827 Y=8882436379 Z=49991644976 M=2542
A=5090 B=4353 C=7882 X=907005054 Y=9533323624 Z=84979526400 M=4752
A=9210 B=9408 C=5906 X=641329398 Y=2860138081 Z=12807432067 M=4571
A=4904 B=4638 C=7379 X=623415579 Y=5596536030 Z=48192526507 M=1936
A=8125 B=9861 C=7062 X=261253427 Y=9645707343 Z=35832899773 M=2978
A=2097 B=7372 C=5903 X=297584171 Y=9254627226 Z=60787406659 M=8912
A=6695 B=7780 C=7159 X=669930585 Y=7697594916 Z=89424167283 M=2134
A=2266 B=4885 C=5960 X=907304677 Y=9613699088 Z=62864555144 M=5264
A=3492 B=8574 C=9584 X=680200325 Y=5613021736 Z=78872271305 M=5555
A=2495 B=7617 C=9762 X=849842636 Y=9723453497 Z=49515245933 M=1450
A=8457 B=8701 C=9034 X=742953567 Y=5024206617 Z=35352331582 M=5604
A=2259 B=3198 C=6071 X=584390322 Y=9550306796 Z=65092604302 M=3215
A=6287 B=6168 C=8004 X=530666474 Y=4873840627 Z=23873482165 M=9267
A=6584 B=5739 C=9264 X=662380767 Y=6295385745 Z=68466460986 M=9591
A=5658 B=4143 C=6902 X=875876508 Y=9868415646 Z=84378532715 M=7299
A=7865 B=3566 C=6293 X=386097518 Y=6784272919 Z=76151725501 M=8449
A=3004 B=9309 C=6211 X=356190394 Y=3947823999 Z=33961584765 M=8184
A=8457 B=4172 C=8549 X=219299779 Y=6122269460 Z=71751752519 M=4730
A=3187 B=3600 C=6481 X=669068608 Y=1425228177 Z=79623650841 M=1527
A=5692 B=7207 C=9911 X=519352472 Y=4962050311 Z=78148351609 M=1371
A=8815 B=9750 C=8853 X=795433735 Y=1091593716 Z=96818868051 M=5965
A=7655 B=4981 C=5299 X=338713789 Y=3730245370 Z=95877785755 M=5137
A=9983 B=9617 C=7859 X=409835955 Y=4855369558 Z=60687678534 M=6282
A=9382 B=6748 C=6090 X=207864412 Y=9687570618 Z=35241611643 M=5587
A=2214 B=8206 C=8357 X=913941247 Y=3141331576 Z=86469220879 M=7375
A=3899 B=6411 C=7280 X=602922191 Y=1365846320 Z=22656887454 M=3569
A=2325 B=5250 C=5843 X=469682270 Y=1153285157 Z=23523989170 M=8648
A=8530 B=8890 C=9483 X=945982517 Y=2678186405 Z=13611019099 M=8395
A=9520 B=4395 C=9696 X=523845816 Y=1348493213 Z=77524861818 M=7884
A=2763 B=3955 C=9003 X=330046582 Y=9574643995 Z=18819511519 M=4933
A=4904 B=4104 C=8779 X=930229129 Y=7753650984 Z=14720540715 M=8723
A=5208 B=9367 C=9906 X=376011860 Y=2120206805 Z=49550953300 M=8611
A=5295 B=7971 C=6408 X=801094902 Y=5584105171 Z=54627953548 M=9398
A=4611 B=6914 C=8724 X=802952583 Y=5807115960 Z=94031257330 M=2055
A=9811 B=3782 C=7941 X=189358914 Y=4996847688 Z=39789990720 M=5939
A=8397 B=7196 C=7246 X=887743704 Y=2816227067 Z=34890697257 M=3152
A=5545 B=4579 C=7879 X=514440839 Y=7723084173 Z=92842132610 M=5200
A=6484 B=8656 C=6218 X=222468492 Y=1858660560 Z=24788097999 M=8532
A=5159 B=8241 C=8789 X=702740138 Y=8797792107 Z=18943752832 M=7269
A=8836 B=8258 C=5386 X=177553008 Y=2000585533 Z=92339448656 M=5021
A=8423 B=3440 C=6728 X=275143148 Y=1016677524 Z=83097221378 M=9073
A=7052 B=8631 C=9818 X=888380016 Y=3087558664 Z=98050717309 M=3028
A=9213 B=8907 C=5994 X=276517949 Y=4559185058 Z=87580792787 M=8804
A=6621 B=9248 C=7650 X=426562324 Y=8780684551 Z=15862871897 M=4940
A=6512 B=8684 C=9853 X=862919706 Y=7389598316 Z=32410242032 M=9315
A=5379 B=9128 C=9261 X=671853148 Y=1550868211 Z=42335040643 M=2605
A=3905 B=5499 C=7469 X=303210072 Y=3976111929 Z=65101727266 M=7267
A=6915 B=7765 C=9008 X=662046683 Y=7285645656 Z=43974823208 M=9137
A=9300 B=9115 C=7435 X=433425008 Y=8202951458 Z=14295684537 M=3492
A=5044 B=5147 C=9081 X=736741461 Y=3946139219 Z=54761756975 M=4197
A=8560 B=5282 C=8180 X=902631597 Y=7865550086 Z=85747524338 M=1892
A=5707 B=4172 C=8894 X=412757814 Y=8529481927 Z=23834167877 M=1688
A=2431 B=7051 C=7058 X=592415471 Y=7777665509 Z=50228317865 M=7753
A=5481 B=3898 C=6155 X=136616839 Y=4155251892 Z=44340344691 M=3764
A=4576 B=8903 C=6081 X=957097977 Y=9108455348 Z=27754614656 M=1068
A=4250 B=4192 C=8819 X=950485522 Y=7829642215 Z=66941293700 M=7794
A=6821 B=5781 C=8824 X=889697981 Y=8434486183 Z=45846122213 M=6563
A=8421 B=6166 C=6635 X=542702295 Y=8933159758 Z=92256737700 M=9415
A=3595 B=9212 C=8588 X=533001234 Y=9354282629 Z=37892605079 M=7751
A=7916 B=5850 C=8098 X=235052005 Y=3308857623 Z=75771987939 M=8214
A=8710 B=3774 C=5549 X=179204321 Y=3443578872 Z=46878489323 M=3283
A=5041 B=9481 C=9809 X=908732406 Y=7984850313 Z=22859340168 M=8574
A=7868 B=9388 C=6457 X=699192155 Y=2641541588 Z=35959065033 M=4328
A=7268 B=3634 C=7986 X=292751120 Y=7865522362 Z=18093797380 M=6635
A=3830 B=6557 C=9583 X=826932568 Y=7666870307 Z=25329028431 M=2747
A=5741 B=7037 C=8918 X=215645568 Y=5230985610 Z=35181130785 M=6838
A=2438 B=3757 C=9772 X=634283010 Y=2816269551 Z=47091923101 M=5931
A=3248 B=3016 C=9463 X=649633378 Y=3782345050 Z=83434759756 M=6207
A=9216 B=6643 C=7423 X=147853637 Y=4341912068 Z=69882769253 M=8411
A=2436 B=7118 C=7091 X=854878997 Y=6037988698 Z=54540701289 M=1661
A=5744 B=4876 C=8561 X=953313288 Y=5666939662 Z=45443071694 M=6397
A=3873 B=8736 C=5227 X=981079824 Y=5994636531 Z=29344492661 M=8478
A=7393 B=4933 C=7459 X=193708266 Y=5924628168 Z=57583808730 M=9895
A=9800 B=7909 C=7190 X=336780910 Y=6972095811 Z=79592036719 M=3505
A=4983 B=8096 C=6471 X=456791630 Y=1089790260 Z=78260454208 M=4166
A=2852 B=6313 C=7233 X=173929002 Y=6245085756 Z=87206879014 M=4258
A=5339 B=6400 C=8950 X=126867824 Y=1050770876 Z=59200315327 M=1052
A=6029 B=9007 C=5992 X=679243474 Y=5772716369 Z=87528477141 M=2275
A=9565 B=7678 C=9771 X=289971707 Y=5091949099 Z=38658449917 M=4726
A=3596 B=7040 C=9324 X=451932562 Y=6685759557 Z=65531408435 M=2390
A=7503 B=6294 C=9273 X=147595431 Y=8330331480 Z=93260746666 M=7122
A=3839 B=3482 C=9303 X=966698222 Y=7111951572 Z=30670950423 M=5622
A=4271 B=7796 C=9054 X=423145146 Y=1781067830 Z=10022568141 M=7381
A=4825 B=9810 C=6093 X=734721105 Y=7343373248 Z=77197946010 M=5564
A=5883 B=7734 C=5269 X=321710799 Y=2780775724 Z=61871196277 M=4670
A=9476 B=5905 C=6360 X=753636047 Y=5075943051 Z=54222768333 M=6910
A=8227 B=3524 C=6737 X=794493157 Y=8014607057 Z=27691540549 M=3927
A=6639 B=7292 C=6758 X=393319352 Y=3530034280 Z=16760120562 M=1736
A=2270 B=9978 C=5373 X=348263112 Y=9489334396 Z=71557665162 M=4367
A=2836 B=5944 C=6930 X=603171131 Y=9955456778 Z=31089529193 M=7888
A=4326 B=6491 C=5255 X=753892432 Y=3215305788 Z=88592755447 M=3306
A=4715 B=5173 C=7730 X=697154191 Y=4274122185 Z=86030897972 M=2034
A=7003 B=3711 C=9309 X=448182001 Y=1691956817 Z=19553940987 M=8298
A=3247 B=9581 C=5806 X=723322628 Y=6533950580 Z=30716554361 M=7072
A=8090 B=3697 C=5708 X=882653736 Y=3628115029 Z=30836439270 M=9895
A=8900 B=6586 C=5506 X=274403198 Y=7193964174 Z=39687054077 M=6549
A=2702 B=7450 C=7386 X=346078456 Y=3230947883 Z=93258991802 M=6048
A=5656 B=6019 C=8992 X=157275588 Y=8790450390 Z=24000950134 M=1726
A=3522 B=5016 C=6377 X=705144294 Y=3187106878 Z=90157952450 M=9452
A=6280 B=7664 C=5097 X=788357723 Y=8691678031 Z=35402241679 M=4026
A=7440 B=3860 C=8633 X=980371376 Y=5731316393 Z=82066811456 M=1120
A=5141 B=9495 C=9568 X=191738728 Y=1126806489 Z=27527885843 M=8502
A=6443 B=3114 C=5691 X=140509986 Y=1558006311 Z=24765036053 M=9186
